session,rcid,importantvote,date,unres,me,nu,di,hr,co,ec,yes,no,abstain,descr,short,unres_title
1,24,0,12/5/1946,R/1/1229,0,0,0,0,0,1,36,4,9,"TO ADOPT BELGIAN ORAL PROPOSAL TO SURRENDER BELGIUM'S SEAT IN THE E.S.C., PROVIDING THAT THE NETHERLANDS AND TURKEY BE THEREBY ELECTED TO THE 2 REMAINING VACANCIES.",ECOSOC ELECTIONS,R/1/1229ECOSOC ELECTIONS
1,25,0,12/6/1946,R/1/1264,0,0,0,0,0,0,36,6,9,TO ADOPT 1ST COMM. DRAFT RESOLUTION (A/235) REQUESTING MODERATED USE OF THE VETO IN THE SECURITY COUNCIL THROUGH CONSULTATION BETWEEN PERMANENT MEMBERS AND RECOMMENDING ADOPTION BY SAID COUNCIL OF PRACTICES AND PROCEDURES DIMINISHING THE DEFECT,SECURITY COUNCIL PROCEDURES,R/1/1264SECURITY COUNCIL PROCEDURES
1,26,0,12/6/1946,R/1/1286,0,0,0,0,1,0,6,34,11,"TO ADOPT USSR ORAL RESOL. REJECTING 8 DRAFT TRUSTEESHIP AGREEMENTS (A/258 AND ADD. 1 AND CORR. 2, CORR. 3, AND REV. 1) SUBMITTED TO THE ASSEMBLY BY ADMINISTERING POWERS AS BEING CONTRARY TO THE REQUIREMENTS OF THE CHARTER CONCERNING THE INTERNA",TRUSTEESHIP AGREEMENTS,R/1/1286TRUSTEESHIP AGREEMENTS
1,27,0,12/6/1946,R/1/1287/A,0,0,0,0,1,0,41,6,5,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR NEW GUINEA SUBMITTED BY AUSTRALIA, ON THE BASIS OF 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1) WHICH APPROVES EACH OF THE 8 TRUSTEESHIP AGREEMENTS.",NEW GUINEA TRUSTEESHIP,R/1/1287/ANEW GUINEA TRUSTEESHIP
1,28,0,12/6/1946,R/1/1287/B,0,0,0,0,1,0,41,6,5,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR RUANDA-URUNDI SUBMITTED BY BELGIUM, INCLUDING THE PROPOSAL ON THE PREAMBLE.  THE AGREEMENT INCLUDING PROPOSAL IS APPROVED BY THE 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV. 1)",RUANDA-URUNDI TRUSTEESHIP,R/1/1287/BRUANDA-URUNDI TRUSTEESHIP
1,29,0,12/6/1946,R/1/1287C,0,0,0,0,1,0,41,5,6,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR THE FRENCH CAMEROONS  SUBMITTED BY FRANCE, INCLUDING THE PROPOSAL ON THE PREAMBLE. THE AGREEMENT AND PROPOSAL ARE APPROVED BY THE 4TH COM. COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1).",FRENCH CAMEROONS TRUSTEESHIP,R/1/1287CFRENCH CAMEROONS TRUSTEESHIP
1,30,0,12/6/1946,R/1/1288A,1,0,0,0,1,0,41,5,6,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR FRENCH TOGOLAND SUBMITTED BY FRANCE; SAID AGREEMENT APPROVED IN 4TH COMM DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3 AND REV.1).",FRENCH TOGOLAND TRUSTEESHIP,R/1/1288AFRENCH TOGOLAND TRUSTEESHIP
1,31,0,12/6/1946,GOAR/1/1288B,0,0,0,0,1,0,41,6,5,"TO ADOPT TRUSTEESHIP AGREEMENT FOR WESTERN SAMOA SUBMITTED BY NEW ZEALAND; SAID AGREEMENT WAS APPROVED IN 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, AND REV.1).",WESTERN SAMOA TRUSTEESHIP,GOAR/1/1288BWESTERN SAMOA TRUSTEESHIP
1,32,0,12/6/1946,R/1/1288C,0,0,0,0,1,0,41,6,5,"TO ADOPT TRUSTEESHIP AGREEMENT FOR TANGANYIKA SUBMITTED BY THE U.K.; AGREEMENT WAS APPROVED IN 4TH COMMITTEE DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1).",TANGANYIKA TRUSTEESHIP,R/1/1288CTANGANYIKA TRUSTEESHIP
1,33,0,12/6/1946,R/1/1288D,0,0,0,0,1,0,41,6,5,"TO ADOPT TRUSTEESHIP AGREEMENT FOR THE BRITISH CAMEROONS SUBMITTED BY THE U.K., APPROVED IN A 4TH COMM. DRAFT RESOLUTION (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1).",BRITISH CAMEROONS TRUSTEESHIP,R/1/1288DBRITISH CAMEROONS TRUSTEESHIP
1,34,0,12/6/1946,R/1/1288E,1,0,0,0,1,0,41,6,5,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR BRITISH TOGOLAND SUBMITTED BY THE U.K.; AGREEMENT WAS APPROVED IN 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1).",BRITISH TOGOLAND TRUSTEESHIP,R/1/1288EBRITISH TOGOLAND TRUSTEESHIP
1,35,0,12/7/1946,R/1/1327,0,0,0,0,1,0,37,0,9,"TO ADOPT 3-POWER DRAFT RESOL. (A/250/ADD.1/REV.1) INVITING THE UNION OF SOUTH AFRICA TO SUBMIT A TRUSTEESHIP AGREEMENT FOR SOUTH WEST AFRICA, FOR THE GENERAL ASSEMBLY WILL NOT ACCEDE TO INCORPORATION OF THAT TERRITORY INTO SOUTH AFRICA.",S.W. AFRICA TRUSTEESHIP,R/1/1327S.W. AFRICA TRUSTEESHIP
1,36,0,12/7/1946,R/1/1355,0,0,0,0,1,0,25,24,4,TO REQUIRE A 2/3 MAJORITY RULE IN VOTING ON THE 4TH COMMITTEE DRAFT RESOL. (A/251) PROVIDING FOR REGIONAL CONFERENCES OF REPRESENTATIVES OF NON-SELF-GOVERNING TERRITORIES TO BE HELD IN ORDER TO DETERMINE THE WILL OF SAID TERRITORIES,S.W. AFRICA TRUSTEESHIP,R/1/1355S.W. AFRICA TRUSTEESHIP
1,37,0,12/7/1946,R/1/1356,0,0,0,0,1,0,23,14,17,"TO ADOPT A CUBAN AMENDMENT TO A 4TH COMMITTEE DRAFT RESOLUTION (A/251), SAID AMENDMENT PROVIDING THAT THE ADMINISTERING POWERS (INSTEAD OF THE ECONOMIC AND SOCIAL COUNCIL) CONVOKE A FULLY REPRESENTATIVE CONFERENCE OF APPOINTED OR ELECTED REPRES","NON-SELF GOVERNING TERRITORIES, AMENDMENT","R/1/1356NON-SELF GOVERNING TERRITORIES, AMENDMENT"
1,38,0,12/7/1946,R/1/1357,0,0,0,0,1,0,31,1,21,TO ADOPT 4TH COMM.DRAFT RESOL. (A/251) AS AMENDED BY THE CUBAN PROPOSAL THAT THE CONFERENCE BE CONVOKED BY THE ADMINISTERING POWERS.,"NON SELF GOVERNING TERRITORIES, CONFERENCES","R/1/1357NON SELF GOVERNING TERRITORIES, CONFERENCES"
1,39,0,12/7/1946,R/1/1369,0,0,0,0,1,0,28,15,7,"TO ADOPT PARAGRAPHS 4, 5 AND 6 OF THE 4TH COMM. DRAFT RESOL. (A/249) ON THE TRANSMISSION OF INFORMATION FROM NON-SELF-GOVERNING TERRITORIES, SAID PARAGRAPHS INVITING THE SECRETARY-GENERAL TO CONVENE AN AD. HOC. COMMITTEE CONSISTING OF REPRESENT","NON SELF GOVERNING TERRITORIES, INFORMATION","R/1/1369NON SELF GOVERNING TERRITORIES, INFORMATION"
1,40,0,12/7/1946,R/1/1375,0,0,0,0,0,0,46,7,0,TO ADOPT THE PERMANENT HEADQUARTERS COMMITTEE DRAFT RESOLUTIONS I AND II (A/277) ACCEPTING THE TERMS OF THE NEW YORK CITY ENDOWMENT AND PROVIDING FOR A PLANNING COMMISSION TO DEVELOP THE NEW UN HEADQUARTERS SITE.,U.N. HEADQUARTERS,R/1/1375U.N. HEADQUARTERS
1,41,0,12/1/1946,R/1/1414A,0,0,0,0,0,1,15,28,10,"TO ADOPT A USSR AMENDMENT TO JOINT 2ND/3RD COMM. DRAFT RESOL. (A/246), ADDING THE WORDS \AND ALSO THE RIGHTS TO PRESENT WRITTEN AND VERBAL STATEMENTS TO THE ECONOMIC AND SOCIAL COUNCIL ON ALL MATTERS OF CONCERN FOR THE FEDERATION.\\ THE DRAFT R""",ECOSOC CONSULTANTS,R/1/1414AECOSOC CONSULTANTS
1,42,0,12/1/1946,R/1/1414B,0,0,0,0,0,1,25,22,6,TO ADOPT THE JOINT 2ND/3RD COMM. DRAFT RESOL. (A/246) ALLOWING THE WORLD FEDERATION OF TRADE UNIONS TO SUBMIT ITEMS FOR INCLUSION IN THE E.S.C. PROVISIONAL AGENDA.,ECOSOC CONSULTANTS,R/1/1414BECOSOC CONSULTANTS
1,43,0,12/1/1946,R/1/1415,0,0,0,0,0,1,34,11,8,TO ADOPT THE JOINT 2ND/3RD COMMITTEE DRAFT RESOLUTION (A/264) CONCERNING CONSULTATION ARRANGEMENTS WITH NON-GOVERNMENTAL ORGANIZATIONS.,ECOSOC CONSULTANTS,R/1/1415ECOSOC CONSULTANTS
1,44,0,12/1/1946,R/1/1453,0,0,0,0,0,0,30,5,18,TO ADOPT 5TH COMM. DRAFT RESOL. (A/275) ON THE FINANCING AND BUDGET OF THE INTERNATIONAL REFUGEE ORGANIZATION.,REFUGEE ORGANIZATION,R/1/1453REFUGEE ORGANIZATION
1,45,0,12/1/1946,R/1/1465,0,0,0,0,0,0,14,35,4,TO ADOPT THE UKRAINIAN DRAFT RESOL. (A/281) CONVENING THE 2ND GENERAL ASSEMBLY REGULAR SESSION IN EUROPE AND AUTHORIZING THE SEC. GEN. TO DETERMINE THE SPECIFIC PLACE THERE.,U.N SESSION IN EUROPE,R/1/1465U.N SESSION IN EUROPE
2,46,0,9/4/1947,R/2/299,0,0,0,0,0,0,41,6,7,"TO ADOPT A GENERAL COMM. RECOMMENDATION (A/392) TO INCLUDE ITEM 60 ON THE QUESTION OF KOREAN INDEPENDENCE, IN THE AGENDA.","KOREA, AGENDA","R/2/299KOREA, AGENDA"
2,47,0,10/5/1947,R/2/355,0,0,0,1,0,0,21,23,11,TO ADOPT A UK AMENDMENT (A/417) TO THE 3RD COMM. DRAFT RESOL. (A/412) APPROVING THE HEREIN-ANNEXED PROTOCOLS EFFECTING TRANSFER TO THE UN OF THE LEAGUE OF NATIONS FUNCTIONS AND POWERS OVER TRAFFIC IN WOMEN AND CHILDREN AND IN OBSCENE PUBLICATIO,"TRAFFIC IN WOMEN, CHILDREN","R/2/355TRAFFIC IN WOMEN, CHILDREN"
2,48,0,10/6/1947,R/2/461,0,0,0,0,0,0,40,6,11,"TO ADOPT 1ST COMMITTEE REPORT (A/409/CORR.1) INCLUDING A RESOLUTION ESTABLISHING A SPECIAL COMMITTEE TO SUPERVISE COMPLIANCE OF ALBANIA, BULGARIA, YUGOSLAVIA AND GREECE WITH PEACE MEASURES RECOMMENDED THEREIN.  THE 1ST COMMITTEE REPORT RELATES",BALKANS,R/2/461BALKANS
2,49,0,10/6/1947,R/2/463,0,0,0,0,0,0,7,34,16,"TO ADOPT POLISH DRAFT RESOL. (A/411) CALLING FOR WITHDRAWAL OF ALL FOREIGN TROOPS, MISSIONS, INSTRUCTORS, AND EXPERTS FROM GREECE.",GREECE TROOP WITHDRAWL,R/2/463GREECE TROOP WITHDRAWL
2,50,0,10/6/1947,R/2/465,0,0,0,0,0,0,6,41,10,TO ADOPT USSR DRAFT RESOL. (A/C91/199) CALLING FOR IMMEDIATE WITHDRAWAL OF ANGLO-AMERICAN FORCES AND SPECIALISTS FROM GREECE.,GREECE TROOP WITHDRAWL,R/2/465GREECE TROOP WITHDRAWL
2,51,0,10/2/1947,R/2/561,0,0,0,0,1,0,13,23,17,TO ADOPT USSR DRAFT RESOL. (A/439) PROVIDING FOR DIRECT APPLICATION BY NON-SELF-GOVERNING TERRITORIES FOR PARTICIPATION IN THE E.C.A.F.E.,ECAFE PARTICIPATION,R/2/561ECAFE PARTICIPATION
2,52,0,11/6/1947,R/2/650,0,0,0,0,1,0,31,20,5,"TO REQUIRE 2/3 MAJORITY RULE IN THE VOTING ON 4TH COMMITTEE DRAFT RESOL. (A/422), REQUESTING FROM SOUTH AFRICA A TRUSTEESHIP AGREEMENT FOR SOUTH WEST AFRICA.",TRUSTEESHIP AGREEMENTS,R/2/650TRUSTEESHIP AGREEMENTS
2,53,0,11/6/1947,R/2/651,0,0,0,0,1,0,36,9,11,"TO ADOPT DANISH AMENDMENT (A/429) TO 4TH COMM. DRAFT RESOL. (A/422), SAID AMENDMENT DELETING THE 4TH PREAMBULAR PARAGRAPH STATING THAT IT IS THE CLEAR INTENT OF CHAPTER   XII OF THE UN CHARTER THAT ALL TERRITORIES FORMERLY UNDER MANDATE SHALL B",S.W. AFRICA TRUSTEESHIP,R/2/651S.W. AFRICA TRUSTEESHIP
2,54,0,11/6/1947,R/2/651,0,0,0,0,1,0,41,10,4,TO ADOPT 4TH COMMITTEE DRAFT RESOL. (A/422) AS AMENDED BY DANISH PROPOSAL.,S.W. AFRICA TRUSTEESHIP,R/2/651S.W. AFRICA TRUSTEESHIP
2,55,0,11/6/1947,R/2/667,0,0,0,0,1,0,24,24,1,"TO ADOPT 4TH COMMITTEE DRAFT RESOL. (A/423) REQUESTING ADMINISTERING AUTHORITIES TO SUBMIT TRUSTEESHIP AGREEMENTS FOR THEIR SELF-GOVERNING TERRITORIES; AS AMENDED BY THE CUBAN PROPOSAL (A/442) REPLACING \THE SUREST AND QUICKEST MEANS\\ WITH \\""A""",TRUSTEESHIP AGREEMENTS,R/2/667TRUSTEESHIP AGREEMENTS
2,56,0,11/1/1947,R/2/719,0,0,0,0,1,0,30,18,9,TO ADOPT A 7-POWER AMENDMENT (A/436) TO 4TH COMM. DRAFT RESOL. II (A/424) AUTHORIZING THE SEC. GENERAL TO UTILIZE ANY DOCUMENTARY MATERIALS FROM ADMINISTERING AUTHORITIES SUPPLEMENTING THEIR INFORMATION ON NON-SELF-GOVERNING TERRITORIES TRANSMI,"NON SELF GOVERNING TERRITORIES, INFORMATION","R/2/719NON SELF GOVERNING TERRITORIES, INFORMATION"
2,57,0,11/1/1947,R/2/743,0,0,0,0,1,0,29,22,5,"TO REQUIRE 2/3 MAJORITY RULE IN VOTING ON 4TH COMMITTEE DRAFT RESOLUTION V (A/424), WHICH RESOLUTION PROVIDES FOR THE ESTABLISHMENT OF A SPECIAL COMMITTEE TO EXAMINE INFORMATION ON NON-SELF-GOVERNING TERRITORIES SUBMITTED BY ADMINISTERING POWER","NON SELF GOVERNING TERRITORIES, INFORMATION","R/2/743NON SELF GOVERNING TERRITORIES, INFORMATION"
2,58,0,11/1/1947,R/2/744,0,0,0,0,1,0,16,25,15,"TO ADOPT INDIAN AMENDMENT (A/446) TO 4TH COMM. DRAFT RESOL. V (A/424), INSERTING \AS AN EXPERIMENTAL MEASURE\\  AFTER WORDS \\""ELECTED FOR A PERIOD OF TWO YEARS\\"" IN PARAGRAPH 1. THE 4TH COMMITTEE DRAFT RESOLUTION V PROVIDES FOR THE ESTABLISHMEN""","NON SELF GOVERNING TERRITORIES, INFORMATION","R/2/744NON SELF GOVERNING TERRITORIES, INFORMATION"
2,59,0,11/5/1947,R/2/858,0,0,0,0,1,0,7,34,16,TO ADOPT USSR ORAL RESOL. CALLING FOR WITHDRAWAL OF ALL OCCUPATION TROOPS FROM KOREA TO ALLOW EXERCISE OF SELF-DETERMINATION BY THAT STATE.,KOREA INDEPENDENCE,R/2/858KOREA INDEPENDENCE
2,60,0,11/6/1947,R/2/940A,0,0,0,0,0,0,16,27,11,"TO ADOPT CUBAN AMENDMENT (A/481) TO THE 2-POWER DRAFT RESOL. (A/452) PROPOSING TO HOLD THE 3RD REGULAR SESSION OF THE UN IN EUROPE, SAID AMENDMENT REQUESTING THE SEC. GENERAL AND HIS 9-MAN ADVISORY COMMITTEE TO SELECT THE TOWN WHEREIN THE ASSEM",GENERAL ASSEMBLY MEETING PLACE,R/2/940AGENERAL ASSEMBLY MEETING PLACE
2,61,0,11/6/1947,R/2/940B,0,0,0,0,0,0,32,17,5,TO ADOPT 2-POWER DRAFT RESOLUTION (A/452) PROPOSING TO HOLD THE 3RD ASSEMBLY OF THE UN IN EUROPE.,GENERAL ASSEMBLY MEETING PLACE,R/2/940BGENERAL ASSEMBLY MEETING PLACE
2,62,0,11/1/1947,R/2/1078A,0,0,0,0,0,0,43,8,1,TO ADOPT 1ST COMM. DRAFT RESOL. III (A/471) RECOMMENDING TO THE SECURITY COUNCIL THE ADMISSION OF IRELAND TO THE UN.,ADMISSION OF NEW MEMBERS,R/2/1078AADMISSION OF NEW MEMBERS
2,63,0,11/1/1947,R/2/1078B,0,0,0,0,0,0,40,9,3,TO ADOPT 1ST COMM. DRAFT RESOL. IV (A/471) RECOMMENDING TO SECURITY COUNCIL THE ADMISSION OF PORTUGAL TO THE UN.,"ADMISSION, PORTUGAL","R/2/1078BADMISSION, PORTUGAL"
2,64,0,11/1/1947,R/2/1079A,0,0,0,0,0,0,44,8,0,TO ADOPT 1ST COMMITTEE DRAFT RESOL. V (A/471) RECOMMENDING TO SECURITY COUNCIL THE ADMISSION OF TRANSJORDAN TO THE UN.,ADMISSION TRANSJORDAN,R/2/1079AADMISSION TRANSJORDAN
2,65,0,11/1/1947,R/2/1079B,0,0,0,0,0,0,43,8,1,TO ADOPT 1ST COMMITTEE DRAFT RESOL. VI (A/471) RECOMMENDING TO SECURITY COUNCIL THE ADMISSION OF ITALY TO THE UN.,ADMISSION ITALY,R/2/1079BADMISSION ITALY
2,66,0,11/1/1947,R/2/1079C,0,0,0,0,0,0,44,8,0,TO ADOPT 1ST COMM. DRAFT RESOL. VII (A/471) RECOMMENDING TO THE SECURITY COUNCIL THE ADMISSION OF FINLAND TO THE UN.,ADMISSION FINLAND,R/2/1079CADMISSION FINLAND
